question,ground_truth_answer,gold_chunk_id,source_doc,section,groundedness_score
"In the context of Nvidia's revenue allowances, how are sales return allowances adjusted if product returns for a fiscal period are anticipated to exceed historical return rates?","If product returns for a fiscal period are anticipated to exceed historical return rates, Nvidia may determine that additional sales return allowances are required to reflect their estimated exposure for product returns.",6f5c2252-6d57-4142-baa7-3dae0ffaca55,Nvidia10k2026.pdf,Revenue Allowances,5
"What is the net carrying amount of intangible assets as of January 25, 2026, and what was the total amortization expense for the fiscal years 2024, 2025, and 2026 combined?","The net carrying amount of intangible assets as of January 25, 2026, is $807 million. The total amortization expense for the fiscal years 2024, 2025, and 2026 combined is $1,695 million ($488 million for 2026, $593 million for 2025, and $614 million for 2024).",7fc570ea-a0fb-4b8d-a458-a39d0c1daf27,Nvidia10k2026.pdf,Note 6 - Amortizable Intangible Assets,5
"What specific market and fiscal year did Nvidia find themselves effectively foreclosed from due to export controls, according to the risks outlined in the provided section of their 10-K report?",Nvidia found themselves effectively foreclosed from competing in China's data center computing/compute market as of the end of fiscal year 2026.,d2b0c799-0582-4d3a-a091-707271a4dd14,Nvidia10k2026.pdf,"Risks Related to Regulatory, Legal, Our Stock and Other Matters",5
"What was the percentage increase in net income per diluted share from the previous fiscal year to fiscal year 2026, and what were the primary factors driving the Data Center revenue growth?",The net income per diluted share increased by 67% from the previous fiscal year to fiscal year 2026. The primary factors driving the Data Center revenue growth were the major platform shifts towards accelerated computing and AI.,55d45a93-6ea9-4a47-b12a-87ccd9c4a210,Nvidia10k2026.pdf,Fiscal Year 2026 Summary,5
What is the combined total amount from the other comprehensive income and the issuance of common stock as reported in the Consolidated Statements of Shareholders' Equity section of Nvidia's 2026 10-K report?,"$794, which is the sum of $150 from other comprehensive income and $644 from the issuance of common stock.",d4fe4d3c-08cd-4eec-ae42-62cafe1348fe,Nvidia10k2026.pdf,Consolidated Statements of Shareholders' Equity,5
What are some potential actions our customers can take due to our sales being made on a purchase order basis that might affect our business operations?,"Our customers can generally cancel, change, or delay product purchase commitments with little notice to us and without penalty.",21070cc6-ee94-4c59-9ce9-edbbddb86009,Nvidia10k2026.pdf,Risks Related to Our Global Operating Business,5
"Based on the Nvidia 10K report, when the company identifies an impairment in its non-marketable equity securities, through which section of the Consolidated Statements of Income is the corresponding charge recorded?","The corresponding charge for an identified impairment in non-marketable equity securities is recorded through 'Other income, net' on Nvidia's Consolidated Statements of Income.",a97801f6-517b-47f4-b290-053773af4208,Nvidia10k2026.pdf,Non-Marketable Equity Securities,5
What are the three specific sections of the Exchange Act that NVIDIA is alleged to have violated according to the litigation action context provided?,"Sections 14(a), 10(b), and 20(a) of the Exchange Act.",b43b2892-cb1f-4a03-989a-b1ded3ca9ec7,Nvidia10k2026.pdf,Litigation action,5
"What are the potential negative impacts on Nvidia's business that are mentioned in the context of financing arrangements, and what specific aspect of these arrangements could exacerbate credit risk?","The potential negative impacts on Nvidia's business, as mentioned in the context, include project delays and counterparty financial distress or insolvency. A specific aspect of financing arrangements that could exacerbate credit risk is the undertaking of arrangements that result in lower upfront cash flows associated with extended payment terms or payment terms made over a multi-year term.",2e350717-20a6-4153-8588-70b1bd077888,Nvidia10k2026.pdf,Risks Related to Our Global Operating Business,5
By the end of which fiscal year did Nvidia find itself effectively foreclosed from competing in China's data center computing/compute market due to complex export controls?,"By the end of fiscal year 2026, Nvidia was effectively foreclosed from competing in China's data center computing/compute market.",085b4e19-ba4b-4044-919d-7d0a59f92421,Nvidia10k2026.pdf,Government Regulations,5
"By how much did the 'Accrued purchase consideration' increase from January 26, 2025, to January 25, 2026, and what percentage increase does this represent?","The 'Accrued purchase consideration' increased by $3,912 from January 26, 2025, to January 25, 2026. This represents a percentage increase of 43,466.67%, calculated as (($3,921 - $9) / $9) * 100.",9430c2ce-db66-4fbd-a0bc-205635bed12e,Nvidia10k2026.pdf,(C),5
What is the name of the platform launched by NVIDIA in fiscal year 2026 that builds on the Blackwell architecture and what are its optimizations?,"The platform launched by NVIDIA in fiscal year 2026 is called the NVIDIA Blackwell Ultra platform, optimized for agentic, reasoning, and physical AI.",61a53fd2-ae0c-4243-b386-a6ce6d4a1617,Nvidia10k2026.pdf,Item 1. Business,5
What are the potential consequences mentioned in the context if Nvidia fails to comply with the Cyberspace Administration of China's (CAC) requirements?,"The potential consequences include incurring liability, being prevented from using data collected in China, impacting the ability to transfer data outside of China, negatively impacting business operations, limiting collaboration with parties subject to European, China, and other data privacy and security laws, and requiring an increase in personal data processing capabilities in Europe and/or elsewhere at significant cost.",bd87d31b-de1b-441b-982a-9047f4bf8c1d,Nvidia10k2026.pdf,"Risks Related to Regulatory, Legal, Our Stock and Other Matters",5
"What foundational development platform does NVIDIA use to run on all its GPUs, and what are some of the computationally intensive workloads it accelerates?","NVIDIA uses the foundational NVIDIA CUDA development platform to run on all its GPUs. It accelerates computationally intensive workloads such as artificial intelligence (AI) model training and inference, data analytics, scientific computing, robotics, and 3D graphics.",5094913c-e72e-47e7-8076-f590afa0c0ca,Nvidia10k2026.pdf,Item 1. Business,5
What are the specific factors mentioned in the context that could impair our customers' ability to expand their data center capacity and consume our products and services?,"The specific factors mentioned are power or water shortages, land or permitting constraints, and regulations that limit energy, water, or land availability.",5391204e-15e8-4c27-9d53-705084d0e3c8,Nvidia10k2026.pdf,Risks Related to Our Global Operating Business,5
"Between which specific dates did the plaintiffs allege the impact of cryptocurrency mining on GPU demand in the securities class action lawsuit against NVIDIA, as mentioned in the context?","The plaintiffs alleged the impact of cryptocurrency mining on GPU demand between May 10, 2017 and November 14, 2018.",5ff37e28-c633-4a8c-b076-1e3257852e69,Nvidia10k2026.pdf,Securities Class Action and Derivative Lawsuits,5
"What specific time period does the registrant's disclosure of changes in internal control over financial reporting pertain to, in the context of their annual report?","The disclosure pertains to the registrant's most recent fiscal quarter, which is the fourth fiscal quarter in the case of an annual report.",ad1d9f36-6b20-44ca-b4a9-bb6240e54449,Nvidia10k2026.pdf,CERTIFICATION,5
What are the potential impacts on Nvidia's ability to sell advanced data center systems if there are changes in the business models or ownership of their partners or customers?,"Changes in the business models or ownership of Nvidia's partners or customers can reduce the number of partners available to Nvidia, potentially harming their ability to sell advanced data center systems to customers.",70b35d50-ebb9-49d3-aad1-46727bb14c40,Nvidia10k2026.pdf,Risks Related to Our Global Operating Business,5
"Based on the context provided, what is the total amount, in dollars, that the USG officials expect to receive from the $60 million H20 revenue generated under the licenses granted in August 2025, despite the lack of a codified regulation?","$9 million, as the USG officials expressed an expectation to receive 15% of the $60 million revenue.",792bc14d-74e7-40ff-b254-e7b710271699,Nvidia10k2026.pdf,Government Regulations,5
"In which segment would NVIDIA's AI solutions and software be reported, according to their business structure outlined in the 2026 10-K report?",NVIDIA's AI solutions and software would be reported under the Compute & Networking segment.,d990a70d-87ab-4ea6-a63c-1e8e7b6bdf86,Nvidia10k2026.pdf,Our Businesses,5
What are the specific mechanisms mentioned in the Nvidia certificate of incorporation and bylaws that could prevent a third-party from acquiring a majority of the company's outstanding stock?,"The mechanisms include the ability of the Board of Directors to create and issue preferred stock, change the number of directors, make, amend or repeal bylaws without prior shareholder approval, the inability of shareholders to act by written consent, advance notice requirements for director nominations and shareholder proposals, and a super-majority voting requirement to amend some provisions.",df820a68-6a70-4cca-97b2-69d1606b8f59,Nvidia10k2026.pdf,"Delaware law and our certificate of incorporation, bylaws and agreement with Microsoft could delay or prevent a change in control.",5
"According to Nvidia's forward-looking statements, what obligation does the company have regarding updating these statements if new information arises in the future?","Nvidia assumes no obligation to update its forward-looking statements publicly or to update the reasons actual results could differ materially from those anticipated, even if new information becomes available in the future, except as required by law.",0c5158db-e4cd-4651-99c1-7f50db8ae060,Nvidia10k2026.pdf,Forward-Looking Statements,5
What specific actions by the US Government could introduce system vulnerabilities and expose the company to significant risk according to the Nvidia 10-K report?,"The US Government could impose license conditions such as requiring chip tracking and throttling mechanisms that could disable or impair GPUs if certain events, including unauthorized system configuration, use, or location, are detected.",270abd48-fc98-4402-ba05-f661b874f027,Nvidia10k2026.pdf,"Risks Related to Regulatory, Legal, Our Stock and Other Matters",5
"What specific factors could adversely impact Nvidia's operating results according to the risks related to regulatory, legal, stock, and other matters as per the 2026 report?","Nvidia's operating results may be adversely impacted by changes in tax laws, higher than expected tax rates, and other tax-related factors. They are subject to complex income tax laws and regulations, as well as non-income-based taxes, in various jurisdictions.",0ccc423f-42fc-4071-aab2-fe0b979f34a7,Nvidia10k2026.pdf,"Risks Related to Regulatory, Legal, Our Stock and Other Matters",5
"What is the total net adjustment amount from stock-based compensation expense, depreciation and amortization, and gains on non-marketable and publicly-held equity securities for the year corresponding to the net cash provided by operating activities in 2025?","(4,737 + 1,864 - 1,030) = 5,571 million. The total net adjustment amount for 2025 is 5,571 million.",4a7522df-f321-4f02-8d50-43aa8efcf9c5,Nvidia10k2026.pdf,(In millions),5
"What method does Nvidia use to record a reduction in revenue for products sold with a right of return, and under what circumstances might additional sales return allowances be required?","Nvidia records a reduction to revenue by establishing a sales return allowance for estimated product returns at the time revenue is recognized, based primarily on historical return rates. Additional sales return allowances may be required if product returns for a fiscal period are anticipated to exceed historical return rates, to accurately reflect the estimated exposure for product returns.",b7da8ec3-13ba-480e-934d-fb304f1b07cd,Nvidia10k2026.pdf,Product Sales Revenue,5
"In the context of NVIDIA's financial reporting, what assurance level is intended to be provided by the designed internal control over financial reporting?",The internal control over financial reporting is designed to provide reasonable assurance regarding the reliability of financial reporting and the preparation of financial statements for external purposes in accordance with generally accepted accounting principles.,b53bdf44-5b88-47ae-a99e-39a3a6e00c4c,Nvidia10k2026.pdf,CERTIFICATION,5
What specific period does the report refer to when disclosing changes that materially affected or are likely to materially affect the registrant's internal control over financial reporting?,"The report refers to the registrant's most recent fiscal quarter, specifically the fourth fiscal quarter in the case of an annual report, when disclosing changes that materially affected or are likely to materially affect the registrant's internal control over financial reporting.",42728cdd-9aad-4e83-b2a2-747e1e040bf1,Nvidia10k2026.pdf,CERTIFICATION,5
"For the fiscal year ended January 25, 2026, what is the combined percentage impact on the income tax expense from the foreign-derived deduction eligible income and tax credits as per Nvidia's report?",-4.4% (calculated as the sum of -3.0% from foreign-derived deduction eligible income and -1.4% from tax credits),8d578333-5015-4436-9397-9d31168fc1bc,Nvidia10k2026.pdf,"The income tax expense (benefit) differs from the amount computed by applying the U.S. federal statutory rate of 21.0% to income before income taxes for the fiscal year ended January 25, 2026 as follows:",5
"What is the total value of foreign currency forward contracts designated as accounting hedges on January 25, 2026, and how does it compare to their value on January 26, 2025?","The total value of foreign currency forward contracts designated as accounting hedges on January 25, 2026, is $1,765. This represents an increase of $341 from their value of $1,424 on January 26, 2025.",9b43413e-ecfb-489c-9fcf-ce3cd3161173,Nvidia10k2026.pdf,Foreign Currency Derivatives,5
What is the total amount of future minimum lease obligations Nvidia is committed to for the period from fiscal year 2029 through 2031 inclusive?,"$1,152",d9663a9b-534b-496a-8bab-1bf41d8aaa2b,Nvidia10k2026.pdf,"Future minimum lease obligations under our non-cancelable lease agreements as of January 25, 2026 were as follows:",5
"Which specific products does Nvidia offer for the gaming market as outlined in the Nvidia10k2026.pdf, and how do they cater to the predominant gaming platform?","Nvidia offers GeForce RTX GPUs for gaming desktop and laptop PCs, GeForce NOW cloud gaming service, as well as SoCs and development services for game consoles. These products cater to PC gaming, the predominant platform in the gaming industry, by providing high-performance graphics hardware, cloud gaming capabilities, and development support for game consoles.",b4bf334f-152d-41f6-a7ce-fde6948e942c,Nvidia10k2026.pdf,Gaming,5
"According to the context provided from Nvidia's 10-K report, which regions are highlighted as having a potentially higher risk of piracy due to lower IP protection compared to the United States?",Various countries in Asia are highlighted as having potentially higher risk of piracy due to lower IP protection compared to the United States.,bf7b57d9-f5a0-4c98-98e3-190eca5d9d8e,Nvidia10k2026.pdf,Patents and Proprietary Rights,5
What is the percentage tariff imposed on H200 products when they are imported into the United States under the new licensing program granted by the USG in February 2026?,25%,eb847a02-4e9c-45fe-b58d-caa50d94110a,Nvidia10k2026.pdf,Government Regulations,5
"Based on the Schedule II – Valuation and Qualifying Accounts, what is the net change in the sales return allowance, and how does it impact the total balance from the beginning to the end of the period?","The net change in the sales return allowance is calculated by taking the additions of $213 and deducting $130, resulting in a net change of $83. This increases the initial balance of $26 to a final balance of $109.",fe00f10f-ac3b-4cf9-88c4-aaad48438645,Nvidia10k2026.pdf,Schedule II – Valuation and Qualifying Accounts,5
"When will Nvidia adopt the new FASB accounting standard requiring additional expense information disclosures, and what impact is expected on their Consolidated Financial Statements?",Nvidia will adopt the new FASB accounting standard in the fiscal year 2028 annual report. The adoption is not expected to have a material impact on their Consolidated Financial Statements other than additional disclosures.,94321252-8c8a-41c4-9f02-48e39f47a97c,Nvidia10k2026.pdf,Recent Accounting Pronouncements Not Yet Adopted,5
"According to the given context from Nvidia's report, what distinct factors could materially affect Nvidia's supply continuity and complicate demand estimates?","The distinct factors that could materially affect Nvidia's supply continuity and complicate demand estimates include challenges in estimating demand globally and regionally, extended lead times due to supply constraints from natural disasters, pandemics, or other events, geopolitical tensions in regions with critical suppliers, and publicly announced but non-binding intentions by governments or companies to purchase products.",6c2925be-6aaf-45a2-903b-73a4e0868a58,Nvidia10k2026.pdf,"Factors that have caused and/or could in the future cause us to underestimate or overestimate demand, and impact the timing and volume of our revenue, include:",5
What was the total depreciation and amortization expense for both the Compute & Networking and Graphics segments combined in fiscal year 2025?,$1.104 billion,f33c87c8-6dd4-4573-8657-530774d079a3,Nvidia10k2026.pdf,Notes to the Consolidated Financial Statements,5
