question,ground_truth_answer,gold_chunk_id,source_doc,section,groundedness_score
"In the KEYNOTE-590 trial, what was the maximum number of cycles for which patients could receive cisplatin in combination with KEYTRUDA or placebo?",Patients could receive up to 6 cycles of cisplatin in combination with KEYTRUDA or placebo.,66d9c520-cd7b-433b-b9dd-fba504f01055,Keytruda_Label.pdf,First-line Treatment of Locally Advanced Unresectable or Metastatic Esophageal Cancer/Gastroesophageal Junction,5
"Based on the Kaplan-Meier Curve data for overall survival in KEYNOTE-826 (CPS ≥1), calculate the percentage decrease in the number of subjects from the first entry to the last entry in the left column.","The percentage decrease in the number of subjects from the first entry (251) to the last entry (90) in the left column is calculated as follows: ((251 - 90) / 251) * 100 = 64.14%. Therefore, there is a 64.14% decrease in the number of subjects.",a011e4af-f3a9-475d-a52d-b32095cbd990,Keytruda_Label.pdf,Figure 25: Kaplan-Meier Curve for Overall Survival in KEYNOTE-826 (CPS ≥1)*,5
"What is the difference in percentage points between the occurrence of all-grade adverse reactions in patients receiving KEYTRUDA 200 mg every 3 weeks and chemotherapy with or without bevacizumab and those receiving placebo and chemotherapy with or without bevacizumab, for reactions that occurred in ≥20% of patients?",The specific percentage points difference cannot be determined from the provided context as it only mentions the criterion (≥20%) without listing specific reaction percentages.,dae12e27-c833-488a-9190-5bae5d4ab333,Keytruda_Label.pdf,Table 39: Adverse Reactions Occurring in ≥20% of Patients Receiving KEYTRUDA in KEYNOTE-826,5
"According to the Keytruda_Label.pdf, for patients with EGFR or ALK genomic tumor aberrations, what specific requirement must be met before considering a first-line treatment with fluoropyrimidine- and platinum-containing chemotherapy for HER2-negative gastric cancer?",Patients with EGFR or ALK genomic tumor aberrations should have experienced disease progression on FDA-approved therapy for these aberrations before considering the first-line treatment with fluoropyrimidine- and platinum-containing chemotherapy for HER2-negative gastric cancer.,db841650-3381-41c2-aed6-c74147cfca1d,Keytruda_Label.pdf,General,5
"In the KEYNOTE-010 trial, how many patients received the 10 mg/kg dosage of KEYTRUDA every 3 weeks?",343 patients received the 10 mg/kg dosage of KEYTRUDA every 3 weeks.,692ed3ad-c3d4-4e49-aa0f-8196bae672e5,Keytruda_Label.pdf,Previously Treated NSCLC,5
"In the context of laboratory abnormalities worsened from baseline occurring in ≥20% of patients receiving KEYTRUDA in KEYNOTE-048, which abnormality showed the highest percentage of worsened cases with a severity grade of 3 or 4, and what is that percentage?","Hypophosphatemia showed the highest percentage of worsened cases with a severity grade of 3 or 4, at 12%.",c2c4c2d5-5398-4094-8dbe-310fe0b16c37,Keytruda_Label.pdf,Table 17: Laboratory Abnormalities Worsened from Baseline Occurring in ≥20% of Patients Receiving KEYTRUDA in KEYNOTE-048,5
"What percentage of adult cHL patients treated with KEYTRUDA in clinical studies were aged 65 years and over, and how does the incidence of serious adverse reactions in this age group compare to that in younger patients?","Of the 389 adult cHL patients treated with KEYTRUDA, 12% were aged 65 years and over. Patients aged 65 years and over had a higher incidence of serious adverse reactions at 50%, compared to 24% in patients younger than 65 years.",9f940ac0-f9e6-4d95-acbd-0dd2b12210ec,Keytruda_Label.pdf,8.5 Geriatric Use,5
"Based on the missing numerical data in the Kaplan-Meier Curve for Overall Survival, identify which treatment arm (KEYTRUDA 10 mg/kg every 2 weeks, KEYTRUDA 10 mg/kg every 3 weeks, or ipilimumab) is associated with the highest overall survival percentage at the 50% survival rate mark.","The context does not provide specific numerical data or visual representation to identify which treatment arm has the highest overall survival percentage at the 50% survival rate mark. Therefore, it is impossible to determine the correct answer from the provided context.",b6510063-5f2f-4aed-97e8-020fb66b2f29,Keytruda_Label.pdf,Figure 1: Kaplan-Meier Curve for Overall Survival in KEYNOTE-006*,5
"Based on the interim efficacy analysis mentioned in the context, what is the maximum number of target lesions allowed per organ, and how does this relate to the total maximum number of target lesions considered in the study?","The study allowed a maximum of 5 target lesions per organ, with a total maximum of 10 target lesions considered in the efficacy analysis.",f31efe45-e736-4e2f-a399-755028e64202,Keytruda_Label.pdf,First-line Treatment of Locally Advanced Unresectable or Metastatic HER2-Positive Gastric or Gastroesophageal Junction Adenocarcinoma,5
"In Treatment Arm A, how many times is KEYTRUDA 200 mg potentially administered to a patient from the start of the neoadjuvant treatment to the completion of the adjuvant treatment, assuming the patient completes all cycles?","KEYTRUDA 200 mg is potentially administered 17 times in total. It is given once on Day 1 of each of the 4 neoadjuvant cycles and then every 3 weeks for up to 13 cycles in the adjuvant treatment, totaling 4 + 13 = 17 administrations.",0c1a2bc4-3df0-47ba-8b23-4cf2a7688609,Keytruda_Label.pdf,Neoadjuvant and adjuvant treatment of resectable NSCLC,5
"According to the adverse reactions data from the KEYNOTE-057 study, what percentage of patients experienced nasopharyngitis as an adverse reaction, and what is the corresponding percentage of patients who experienced a urinary tract infection?","10% of patients experienced nasopharyngitis, while 12% of patients experienced a urinary tract infection.",7a7ea05f-4ec5-4634-8a20-6f3b6436c2f3,Keytruda_Label.pdf,Table 31: Adverse Reactions Occurring in ≥10% of Patients Receiving KEYTRUDA in KEYNOTE-057,5
"Based on the provided data from the Keytruda label, what is the decrease in the number of subjects from 18 months to 42 months, and what is the corresponding decrease in overall survival percentage?","The number of subjects decreases from 127 at 18 months to 43 at 42 months, which is a decrease of 84 subjects. The overall survival percentage decreases from 46% at 18 months to 12% at 42 months, which is a decrease of 34 percentage points.",9323fd07-7271-4927-89ef-1146555d0b9f,Keytruda_Label.pdf,Overall Survival (%),5
"What percentage of patients experienced adverse reactions leading to the interruption of KEYTRUDA, and what percentage of these interruptions were due to thrombocytopenia?","43% of patients experienced adverse reactions leading to the interruption of KEYTRUDA, and 20% of these interruptions were due to thrombocytopenia.",75597cc4-4e6a-4c91-81e8-39c359c79a12,Keytruda_Label.pdf,Table 11: Laboratory Abnormalities Worsened from Baseline Occurring in ≥20% of Patients in KEYNOTE-189,5
"In the study described in the Keytruda_Label.pdf, what were the two different dosing regimens for patients receiving KEYTRUDA, and how often were tumor statuses assessed?",Patients received KEYTRUDA at 10 mg/kg every 2 weeks (n=53) or 200 mg every 3 weeks (n=121). Tumor status was assessed every 8 weeks.,9dba4068-a4ec-4293-ac08-3d49a05df23b,Keytruda_Label.pdf,Previously treated recurrent or metastatic HNSCC,5
Under what circumstances should KEYTRUDA be permanently discontinued according to the guidelines in Section 2.3 Dose Modifications of the Keytruda_Label.pdf?,"KEYTRUDA should be permanently discontinued for life-threatening (Grade 4) immune-mediated adverse reactions, recurrent severe (Grade 3) immune-mediated reactions that require systemic immunosuppressive treatment, or an inability to reduce corticosteroid dose to 10 mg or less of prednisone or equivalent per day within 12 weeks of initiating steroids.",14c48b19-3ac3-4b3a-a001-d9264b98f268,Keytruda_Label.pdf,2.3 Dose Modifications,5
"What is the percentage difference in the occurrence of hypophosphatemia between patients receiving KEYTRUDA and the comparator group, based on the laboratory abnormalities worsened from baseline?",The percentage difference in the occurrence of hypophosphatemia between patients receiving KEYTRUDA (30%) and the comparator group (27%) is 3%.,678a757c-5e4b-47b6-898e-24f3a5184984,Keytruda_Label.pdf,Table 34: Laboratory Abnormalities Worsened from Baseline Occurring in ≥20% of Patients Receiving KEYTRUDA in KEYNOTE-859,5
What is the percentage difference in urinary tract infection occurrence between the two study groups mentioned in the FIGO 2014 Stage III-IVA Cervical Cancer with Chemoradiotherapy context?,The percentage difference in urinary tract infection occurrence between the two study groups is 0.5% (4.6% - 4.1%).,ce42c919-cfee-4d54-b1c8-b6de149b67ee,Keytruda_Label.pdf,FIGO 2014 Stage III-IVA Cervical Cancer with Chemoradiotherapy,5
List all the common side effects of KEYTRUDA when given with lenvatinib that involve the digestive system.,"The common side effects of KEYTRUDA when given with lenvatinib that involve the digestive system are diarrhea, nausea, decreased appetite, vomiting, mouth sores, weight loss, stomach-area (abdominal) pain, and constipation.",b8c0d128-90ed-47e8-9e6c-c51846032306,Keytruda_Label.pdf,Common side effects of KEYTRUDA when given with lenvatinib include:,5
"In the KEYNOTE-042 study, how often were the doses of KEYTRUDA 200 mg and the chemotherapy regimen with Pemetrexed and Carboplatin administered?","KEYTRUDA 200 mg was administered intravenously every 3 weeks, and the chemotherapy regimen with Pemetrexed 500 mg/m² and Carboplatin AUC 5 to 6 mg/mL/min was also administered every 3 weeks on Day 1 for a maximum of 6 cycles.",fc760e7d-7bac-4973-a0ab-ede78fd5d7ed,Keytruda_Label.pdf,KEYNOTE-042,5
What is the percentage difference in the occurrence of all grades of anemia between patients receiving KEYTRUDA and those receiving a placebo?,The percentage difference in the occurrence of all grades of anemia between patients receiving KEYTRUDA (65%) and those receiving a placebo (69%) is 4%.,6d13ba7f-4ae6-4b39-985a-5eb87ae20afd,Keytruda_Label.pdf,Table 34: Laboratory Abnormalities Worsened from Baseline Occurring in ≥20% of Patients Receiving KEYTRUDA in KEYNOTE-859,5
"What is the primary mechanism of action by which pembrolizumab affects tumor growth according to the Keytruda label, and which specific immune cells are involved in this process?","Pembrolizumab binds to the PD-1 receptor on T cells, blocking its interaction with PD-L1 and PD-L2, which releases PD-1 pathway-mediated inhibition of the immune response, including the anti-tumor immune response. This process involves T cells and results in decreased tumor growth in syngeneic mouse tumor models.",25f30610-cda7-4427-b755-727df76e5972,Keytruda_Label.pdf,12.1 Mechanism of Action,5
List at least three specific hematologic or immune-related adverse reactions associated with the use of Keytruda as mentioned in the context.,"Hemolytic anemia, aplastic anemia, hemophagocytic lymphohistiocytosis.",12c4cbe5-54ee-412a-a765-cc061a805f30,Keytruda_Label.pdf,5.1 Immune-Mediated Adverse Reactions,5
"What percentage of patients experienced the most common adverse reaction leading to the permanent discontinuation of KEYTRUDA, and how does this compare to the percentage of patients who experienced decreased neutrophil count leading to the interruption of KEYTRUDA?","The most common adverse reaction leading to permanent discontinuation of KEYTRUDA was pneumonitis, experienced by 1.3% of patients. In comparison, 18% of patients experienced decreased neutrophil count leading to the interruption of KEYTRUDA.",b44e5058-9fca-4290-9e0a-831426fd9e53,Keytruda_Label.pdf,KEYTRUDA Safety Information,5
What are the three key efficacy outcomes that showed statistically significant improvement for patients receiving KEYTRUDA in combination with carboplatin and either paclitaxel or paclitaxel protein-bound chemotherapy compared to those receiving a placebo?,"The three key efficacy outcomes are overall survival (OS), progression-free survival (PFS), and objective response rate (ORR).",6fc0acc6-82d3-467d-a391-bcc8e2132ad5,Keytruda_Label.pdf,First-line treatment of metastatic squamous NSCLC with carboplatin and either paclitaxel or paclitaxel protein-bound chemotherapy,5
"According to the recommended dosage modifications for adverse reactions in the provided context, what is the prescribed action for a patient experiencing Grade 3 colitis?",Withhold†,e52bbb57-1d9f-4155-b2b2-71a3660452a2,Keytruda_Label.pdf,Table 2: Recommended Dosage Modifications for Adverse Reactions,5
"What percentage of patients receiving KEYTRUDA experienced Grade 3 hypophysitis, and how many of those required systemic corticosteroids?","0.3% of patients receiving KEYTRUDA experienced Grade 3 hypophysitis. 94% of the 17 patients with hypophysitis required systemic corticosteroids, which implies that approximately 16 patients with hypophysitis, including those with Grade 3, required systemic corticosteroids.",f1251de1-bcb6-46f1-a011-fbcd59559621,Keytruda_Label.pdf,Hypophysitis,4
What percentage of patients experienced Grades 3-4 laboratory abnormalities when treated with KEYTRUDA 200 mg every 3 weeks and Enfortumab Vedotin according to the data presented in Table 25 of the KEYNOTE-A39 study?,"The context does not provide specific numerical data for the percentage of Grades 3-4 laboratory abnormalities for patients treated with KEYTRUDA 200 mg every 3 weeks and Enfortumab Vedotin, as the table and specific values are not included in the provided excerpt.",9d2e742e-8ef5-432b-985f-09982280e30f,Keytruda_Label.pdf,Table 25: Selected Laboratory Abnormalities Worsened from Baseline Occurring in ≥20% of Patients in KEYNOTE-A39,5
What is the range of response durations for patients randomized to KEYTRUDA 10 mg/kg with an objective response in the study of Ipilimumab-Refractory Melanoma?,The response durations ranged from 1.1+ to 11.1+ months.,6dfd2275-a918-4b3e-8c54-770729598740,Keytruda_Label.pdf,Ipilimumab-Refractory Melanoma,5
"In the KEYNOTE-181 trial, how many patients with recurrent locally advanced or metastatic esophageal cancer were enrolled, and what specific testing was required for all patients?",628 patients were enrolled in the KEYNOTE-181 trial. All patients were required to have tumor specimens for PD-L1 testing at a central laboratory using the PD-L1 IHC 22C3 pharmDx kit.,2bfdf263-8715-4ed4-8098-9e9989a7b3d5,Keytruda_Label.pdf,KEYNOTE-181,5
What is the difference in the number of partial responses between the two groups in the study on recurrent or metastatic ESCC (CPS ≥10) detailed in Table 86 of the KEYNOTE-181 study?,"The difference in the number of partial responses between the two groups is 10, with 15 (18%) partial responses in one group and 5 (6%) in the other.",1d66bb33-51b0-4344-ab4f-694154e8f907,Keytruda_Label.pdf,Table 86: Efficacy Results in Patients with Recurrent or Metastatic ESCC (CPS ≥10) in KEYNOTE-181,5
"In the KEYNOTE-045 trial investigating the efficacy of KEYTRUDA, how many patients were involved, and what were the specific criteria related to previous treatments they must have undergone?","The trial involved 542 patients with locally advanced or metastatic urothelial carcinoma, and the specific criteria were that these patients must have experienced disease progression on or after platinum-containing chemotherapy.",d8931273-fdc1-40a1-9f98-cd7026ce101a,Keytruda_Label.pdf,Previously Treated Urothelial Carcinoma,5
"What is the frequency of laboratory abnormalities worsened from baseline occurring in ≥20% of patients receiving KEYTRUDA with chemotherapy compared to a placebo group, as reported in Table 56 of the Keytruda Label PDF under the context of KEYNOTE-355?",The specific frequencies of laboratory abnormalities worsened from baseline for patients receiving KEYTRUDA with chemotherapy compared to the placebo group are not provided in the context above. The context only indicates that such information is found in Table 56 of the Keytruda Label PDF under the KEYNOTE-355 study.,b9500471-f73d-40c1-8b59-8f7da5e9d83c,Keytruda_Label.pdf,Table 56: Laboratory Abnormalities Worsened from Baseline Occurring in ≥20% of Patients Receiving KEYTRUDA with Chemotherapy in KEYNOTE-355,5
"Based on the trial described in the context, what was the PFS HR estimate for patients with FIGO 2014 Stage IB2-IIB disease, and what was its 95% confidence interval?","The PFS HR estimate for patients with FIGO 2014 Stage IB2-IIB disease was 0.91, with a 95% confidence interval of 0.63 to 1.31.",3d6e5ffd-7cca-41c0-8b54-aa07c2c48de8,Keytruda_Label.pdf,14.12 Cervical Cancer,5
What is the difference in percentage points between the occurrence of rash and cough as an adverse reaction in patients receiving KEYTRUDA in KEYNOTE-002?,The difference in percentage points is 6% (24% for rash - 18% for cough).,038c3e95-40b8-431a-b969-40de0add8480,Keytruda_Label.pdf,Table 6: Selected* Adverse Reactions Occurring in ≥10% of Patients Receiving KEYTRUDA in KEYNOTE-002,5
"What percentage of patients undergoing treatment with KEYTRUDA in the KEYNOTE-087 study required systemic corticosteroid therapy due to an adverse reaction, and how does this compare to the percentage of patients who experienced dosage interruption due to an adverse reaction?","Fifteen percent of patients required systemic corticosteroid therapy due to an adverse reaction, compared to 26% of patients who experienced dosage interruption due to an adverse reaction.",c2ffec99-3b6c-4eac-b965-6334b4f4512b,Keytruda_Label.pdf,KEYNOTE-087,5
"According to the context provided, for what specific type of cancer patients is KEYTRUDA indicated, and what are the prerequisite conditions for its use?",KEYTRUDA is indicated for adult and pediatric patients with unresectable or metastatic microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) solid tumors. The prerequisite conditions for its use are that the tumors must have progressed following prior treatment and the patients must have no satisfactory alternative treatment options.,0e250d31-febb-4b65-8fba-1ac04d9cc81b,Keytruda_Label.pdf,1.8 Microsatellite Instability-High or Mismatch Repair Deficient Cancer,5
